,name,retail,link,image,size,return_1month,model,collab,classic,limited_release,GS,model_encode,profit_1month
0,Jordan 10 Retro Drake OVO Black,225,https://stockx.com/jordan-10-retro-drake-ovo-black,"https://stockx.imgix.net/Air-Jordan-10-Retro-Drake-OVO-Black-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",8,2.111111111,Jordan Other,1,0,1,0,13,1
1,Jordan 10 Retro Drake OVO Black,225,https://stockx.com/jordan-10-retro-drake-ovo-black,"https://stockx.imgix.net/Air-Jordan-10-Retro-Drake-OVO-Black-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",8.5,0.911111111,Jordan Other,1,0,1,0,13,1
2,Jordan 10 Retro Drake OVO Black,225,https://stockx.com/jordan-10-retro-drake-ovo-black,"https://stockx.imgix.net/Air-Jordan-10-Retro-Drake-OVO-Black-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",9,1.555555556,Jordan Other,1,0,1,0,13,1
3,Jordan 10 Retro Drake OVO Black,225,https://stockx.com/jordan-10-retro-drake-ovo-black,"https://stockx.imgix.net/Air-Jordan-10-Retro-Drake-OVO-Black-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",9.5,1.444444444,Jordan Other,1,0,1,0,13,1
4,Jordan 10 Retro Drake OVO Black,225,https://stockx.com/jordan-10-retro-drake-ovo-black,"https://stockx.imgix.net/Air-Jordan-10-Retro-Drake-OVO-Black-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",10,1.471111111,Jordan Other,1,0,1,0,13,1
5,Jordan 10 Retro Drake OVO Black,225,https://stockx.com/jordan-10-retro-drake-ovo-black,"https://stockx.imgix.net/Air-Jordan-10-Retro-Drake-OVO-Black-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",10.5,1.493333333,Jordan Other,1,0,1,0,13,1
6,Jordan 10 Retro Drake OVO Black,225,https://stockx.com/jordan-10-retro-drake-ovo-black,"https://stockx.imgix.net/Air-Jordan-10-Retro-Drake-OVO-Black-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",11,1.444444444,Jordan Other,1,0,1,0,13,1
7,Jordan 10 Retro Drake OVO Black,225,https://stockx.com/jordan-10-retro-drake-ovo-black,"https://stockx.imgix.net/Air-Jordan-10-Retro-Drake-OVO-Black-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",11.5,1.555555556,Jordan Other,1,0,1,0,13,1
8,Jordan 10 Retro Drake OVO Black,225,https://stockx.com/jordan-10-retro-drake-ovo-black,"https://stockx.imgix.net/Air-Jordan-10-Retro-Drake-OVO-Black-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",12,1.777777778,Jordan Other,1,0,1,0,13,1
9,Jordan 10 Retro Drake OVO Black,225,https://stockx.com/jordan-10-retro-drake-ovo-black,"https://stockx.imgix.net/Air-Jordan-10-Retro-Drake-OVO-Black-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",13,1.888888889,Jordan Other,1,0,1,0,13,1
